site,Directory,FileName,DateTimeOriginal,DateTimeCorrected,species,count,juvenile,moving,resting,eating,standing,interacting,male
G12,G12/G12_R1/105EK113,12290596.JPG,12/29/18 12:42,12/29/18 12:42,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290597.JPG,12/29/18 12:42,12/29/18 12:42,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290598.JPG,12/29/18 12:43,12/29/18 12:43,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290599.JPG,12/29/18 12:43,12/29/18 12:43,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290600.JPG,12/29/18 12:43,12/29/18 12:43,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290601.JPG,12/29/18 12:43,12/29/18 12:43,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290602.JPG,12/29/18 12:44,12/29/18 12:44,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290603.JPG,12/29/18 12:44,12/29/18 12:44,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290604.JPG,12/29/18 12:45,12/29/18 12:45,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290605.JPG,12/29/18 12:45,12/29/18 12:45,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290606.JPG,12/29/18 12:45,12/29/18 12:45,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290607.JPG,12/29/18 12:45,12/29/18 12:45,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290608.JPG,12/29/18 12:46,12/29/18 12:46,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290609.JPG,12/29/18 12:46,12/29/18 12:46,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290610.JPG,12/29/18 12:46,12/29/18 12:46,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290611.JPG,12/29/18 12:46,12/29/18 12:46,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290612.JPG,12/29/18 12:47,12/29/18 12:47,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290613.JPG,12/29/18 12:47,12/29/18 12:47,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290614.JPG,12/29/18 12:48,12/29/18 12:48,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290615.JPG,12/29/18 12:48,12/29/18 12:48,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290616.JPG,12/29/18 12:49,12/29/18 12:49,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290617.JPG,12/29/18 12:49,12/29/18 12:49,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290618.JPG,12/29/18 12:49,12/29/18 12:49,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290619.JPG,12/29/18 12:49,12/29/18 12:49,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290620.JPG,12/29/18 12:50,12/29/18 12:50,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290621.JPG,12/29/18 12:50,12/29/18 12:50,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290622.JPG,12/29/18 12:50,12/29/18 12:50,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290623.JPG,12/29/18 12:50,12/29/18 12:50,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290624.JPG,12/29/18 12:51,12/29/18 12:51,nothing there,,,,,,,,
G12,G12/G12_R1/105EK113,12290625.JPG,12/29/18 12:51,12/29/18 12:51,nothing there,,,,,,,,
