Directory,DateTimeOriginal,FileName,species,count,juvenile,moving,resting,eating,standing,interacting,male
D07/D07_R1/100EK113,5/12/18 15:02,05120084.JPG,nyala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 17:13,05120085.JPG,vervet,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 17:13,05120086.JPG,vervet,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 17:15,05120087.JPG,vervet,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 17:15,05120088.JPG,vervet,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 17:16,05120089.JPG,vervet,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 17:16,05120089.JPG,impala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 17:16,05120090.JPG,vervet,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 17:16,05120090.JPG,impala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 17:17,05120091.JPG,impala,1,0,1,0,0,1,0,1
D07/D07_R1/100EK113,5/12/18 17:17,05120092.JPG,impala,1,0,0,0,1,1,0,1
D07/D07_R1/100EK113,5/12/18 17:20,05120093.JPG,impala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 17:20,05120094.JPG,impala,1,0,1,0,0,1,0,0
D07/D07_R1/100EK113,5/12/18 17:24,05120095.JPG,impala,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/12/18 17:24,05120096.JPG,impala,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/12/18 17:26,05120097.JPG,nyala,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/12/18 17:26,05120098.JPG,nyala,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/12/18 17:36,05120099.JPG,impala,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/12/18 17:36,05120100.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/13/18 1:30,05130101.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/13/18 1:30,05130102.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/13/18 6:02,05130103.JPG,nyala,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 6:02,05130104.JPG,nyala,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 6:09,05130105.JPG,warthog,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 6:09,05130106.JPG,warthog,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 8:34,05130107.JPG,baboon,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 8:34,05130108.JPG,baboon,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 8:34,05130109.JPG,baboon,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 8:34,05130110.JPG,nothing there,,,,,,,,
D07/D07_R1/100EK113,5/13/18 8:35,05130111.JPG,baboon,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 8:35,05130112.JPG,baboon,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 10:10,05130113.JPG,baboon,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 10:10,05130114.JPG,baboon,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 10:10,05130115.JPG,baboon,2,0,1,0,1,1,1,0
D07/D07_R1/100EK113,5/13/18 10:10,05130116.JPG,baboon,2,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 19:48,05130117.JPG,bushpig,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 19:48,05130118.JPG,bushpig,1,0,1,0,1,1,0,0
D07/D07_R1/100EK113,5/13/18 22:41,05130119.JPG,bushbuck,1,0,1,0,1,1,0,1
D07/D07_R1/100EK113,5/13/18 22:41,05130120.JPG,bushbuck,1,0,1,0,1,1,0,1
